"prod_number","client_name","fulfillment_center_name","po_number","0-7 days","16-23 days","24-31 days","32-45 days","46-60 days","61-90 days","8-15 days",">90 days"
"172723880","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1055369",1,0,0,0,0,0,0,0
"172817882","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1055406",1,0,0,0,0,0,0,0
"172703971","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1055469",1,0,0,0,0,0,0,0
"172809171","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1055599",1,0,0,0,0,0,0,0
"153469322","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180720-1026051",0,0,0,0,0,0,50,0
"173328189","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180720-1026051",0,0,0,0,0,0,37,0
"173328189","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180723-1033145",0,0,0,0,0,0,1,0
"175193738","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180724-1033262",0,0,0,0,0,0,1,0
"174500737","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180714-1009245",0,1,0,0,0,0,0,0
"172817882","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180727-1046555",1,0,0,0,0,0,0,0
"172817882","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180727-1046573",1,0,0,0,0,0,0,0
"173509715","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180728-1049187",1,0,0,0,0,0,0,0
"172817882","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180730-1054916",1,0,0,0,0,0,0,0
"172809171","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1055157",1,0,0,0,0,0,0,0
"172809171","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1055159",1,0,0,0,0,0,0,0
"172809171","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1055639",1,0,0,0,0,0,0,0
"174500737","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180712-999202",0,1,0,0,0,0,0,0
