"order_number","sub_order","fulfillment_center_name","client_name","prod_num","qty"
"5698628371","6099549530","DELFC4","RSR INFORMATICS PVT-PAYTM","173328189",1
"5698978382","6099928635","DELFC4","RSR INFORMATICS PVT-PAYTM","173328189",1
"5699042738","6099998139","DELFC4","RSR INFORMATICS PVT-PAYTM","173328189",1
"5699079012","6100037134","DELFC4","RSR INFORMATICS PVT-PAYTM","173328189",1
"5699451106","6100437425","DELFC4","RSR INFORMATICS PVT-PAYTM","173328189",1
"5700466940","6101530427","DELFC4","RSR INFORMATICS PVT-PAYTM","173328189",1
"5696689691","6097446594","DELFC4","RSR INFORMATICS PVT-PAYTM","174500733",1
"5697010655","6097806259","DELFC4","RSR INFORMATICS PVT-PAYTM","174500733",1
"5697973024","6098843441","DELFC4","RSR INFORMATICS PVT-PAYTM","174500733",1
"5698981361","6099931836","DELFC4","RSR INFORMATICS PVT-PAYTM","174500733",1
"5699404352","6100387622","DELFC4","RSR INFORMATICS PVT-PAYTM","174500733",1
"5693434432","6093947834","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5693825523","6094366716","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5694249754","6094819315","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5694265525","6094836034","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5694291227","6094863207","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5695660329","6096320101","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5695782467","6096451256","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5695876318","6096552213","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5696023918","6096711560","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5696059607","6096750400","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5696718221","6097478793","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5696750412","6097514724","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5696906722","6097692442","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5697009046","6097804415","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5697083488","6097884887","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5697139894","6097945924","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5697411415","6098238448","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698226053","6099115632","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698261727","6099153784","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698316206","6099212476","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698358479","6099257927","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698394992","6099297223","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698433011","6099338107","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698465792","6099373746","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698500074","6099410740","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698533071","6099446320","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698571190","6099487514","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698634376","6099555930","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698651251","6099574354","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698673941","6099598976","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698696150","6099622846","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698709175","6099636995","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698745921","6099676907","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698798870","6099734176","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698839430","6099778193","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698903637","6099847556","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698903859","6099847789","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698904389","6099848377","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698999211","6099951006","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5699024000","6099977781","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5699070992","6100028472","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
